Internal ID;Name;Display Name;Purchase Description;Costing Method;WIP Cost Variance Account;Type;BIO_CAM_LINEA
11495;INY0000289;QUETAMIN x 100ml;QUETAMIN x 100ml;Average;6686;Assembly;INYECTABLES
11592;INY0000128;HEPATIN x 250mL;HEPATIN x 250mL;Average;6686;Assembly;INYECTABLES
11594;INY0000006;BIO C x 100mL;BIO C x 100mL;Average;6686;Assembly;INYECTABLES
11628;INY0000077;BIOVALGINA x 50 mL;BIOVALGINA x 50 mL;Average;6686;Assembly;INYECTABLES
11634;INY0000085;COMPLEX B x 100mL;COMPLEX B x 100mL;Average;6686;Assembly;INYECTABLES
11640;INY0000093;DEXALAN x 100mL;DEXALAN x 100mL;Average;6686;Assembly;INYECTABLES
11642;INY0000096;DEXTROVITAM x 500mL;DEXTROVITAM x 500mL;Average;6686;Assembly;INYECTABLES
11651;INY0000127;HEPATIN x 100mL;HEPATIN x 100mL;Average;6686;Assembly;INYECTABLES
11692;INY0000517;TILOZONA x 100 mL;TILOZONA x 100 mL;Average;6686;Assembly;INYECTABLES
11991;SEM0000019;OTOLOG X 25 ML;OTOLOG X 25 ML;Average;6686;Assembly;SEMISOLIDOS
11992;SEM0000027;LIVRE x 15 G;LIVRE x 15 G;Average;6686;Assembly;SEMISOLIDOS
12011;LIQ0000038;TRANQUILISS GOTAS x 15 mL;TRANQUILISS GOTAS x 15 mL;Average;6686;Assembly;LIQUIDOS
12031;SEM0000107;POTENZA x 120.5 G;POTENZA x 120.5 G;Average;6686;Assembly;SEMISOLIDOS
12032;SEM0000110;HEPATIN PASTA X 60ML;HEPATIN PASTA X 60ML;Average;6686;Assembly;SEMISOLIDOS
12033;SEM0000153;POTENZA CATS x 70.9 g;POTENZA CATS x 70.9 g;Average;6686;Assembly;SEMISOLIDOS
12034;SEM0000154;TELOPAR GEL JERINGA x 2 mL;TELOPAR GEL JERINGA x 2 mL;Average;6686;Assembly;SEMISOLIDOS
12035;SEM0000155;TELOPAR GEL JERINGA x 5 mL;TELOPAR GEL JERINGA x 5 mL;Average;6686;Assembly;SEMISOLIDOS
12036;SEM0000156;TELOPAR GEL JERINGA x 10 mL;TELOPAR GEL JERINGA x 10 mL;Average;6686;Assembly;SEMISOLIDOS
